dependency,file
pip._internal.vcs.versioncontrol,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
keyring,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
datetime,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
pip._vendor.cachecontrol.cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
pip._vendor.cachecontrol.caches,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
pip._internal.utils.filesystem,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
email.message,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
mimetypes,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.cli.progress_bars,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.models.index,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.network.cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.network.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
bisect,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
tempfile,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
zipfile,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
pip._internal.network.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
email.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
functools,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
io,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
ipaddress,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
json,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
mimetypes,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
platform,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
shutil,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
urllib.parse,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
warnings,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.cachecontrol,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.requests.adapters,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.requests.adapters,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.requests.structures,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.urllib3.connectionpool,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.urllib3.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.network.auth,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.network.cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.utils.compat,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.utils.glibc,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._internal.utils.urls,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
ssl,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor.urllib3.poolmanager,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
pip._vendor,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
_ssl,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
urllib.parse,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
xmlrpc.client,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
pip._internal.network.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
xmlrpc.client,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
_typeshed,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
email.parser,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
functools,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._vendor.packaging.requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._vendor.packaging.tags,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._internal.distributions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._internal.metadata.base,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
collections,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
dataclasses,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.req.constructors,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.req.req_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.utils.direct_url_helpers,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
pip._internal.vcs,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
mimetypes,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
shutil,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
dataclasses,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pathlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.distributions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.distributions.installed,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.index.package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.models.direct_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.models.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.network.download,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.network.lazy_wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.operations.build.build_tracker,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils._log,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.direct_url_helpers,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.hashes,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.utils.unpacking,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
pip._internal.vcs,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
hashlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
types,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
pip._vendor.pyproject_hooks,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
pip._internal.build_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
pip._vendor.pyproject_hooks,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
pip._internal.build_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.build_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.cli.spinners,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.utils.setuptools_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
pip._vendor.pyproject_hooks,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
pip._vendor.pyproject_hooks,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
os.path,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
pip._internal.cli.spinners,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
pip._internal.utils.setuptools_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
pip._internal.build_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
pip._internal.utils.setuptools_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
collections,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
compileall,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
csv,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
importlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
os.path,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
re,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
shutil,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
warnings,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
base64,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
email.message,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
itertools,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
zipfile,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._vendor.distlib.scripts,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._vendor.distlib.util,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.locations,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.models.direct_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.models.scheme,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.utils.filesystem,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.utils.unpacking,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
pip._internal.utils.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
copy,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
re,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
dataclasses,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._vendor.packaging.markers,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._vendor.packaging.requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._vendor.packaging.specifiers,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.models.index,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.models.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.req.req_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.utils.filetypes,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.utils.packaging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.utils.urls,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
pip._internal.vcs,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
codecs,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
locale,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
optparse,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
re,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
shlex,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
urllib.parse,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
dataclasses,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
optparse,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.cli,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.models.search_scope,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.index.package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
pip._internal.network.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
functools,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
shutil,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
uuid,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
zipfile,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
optparse,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pathlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.markers,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.specifiers,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._vendor.pyproject_hooks,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.build_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.locations,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.metadata.base,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.models.direct_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.operations.build.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.operations.build.metadata_editable,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.operations.build.metadata_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.operations.install.editable_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.operations.install.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.pyproject,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.req.req_uninstall,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.deprecation,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.hashes,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.packaging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.unpacking,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.utils.virtualenv,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
pip._internal.vcs,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
collections,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
functools,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
sysconfig,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
importlib.util,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.locations,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.utils.compat,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.utils.egg_link,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
