dependency,file
pip._vendor.packaging.requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
pip._internal.utils.packaging,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
tomllib,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
pip._vendor,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
datetime,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
functools,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
hashlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
json,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
optparse,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
os.path,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
dataclasses,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._vendor.rich.console,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._vendor.rich.markup,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._vendor.rich.text,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.index.collector,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.index.package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.models.selection_prefs,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.utils.compat,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip._internal.utils.entrypoints,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
