error,functions,classes,lines,imports,file
,22,2,228,17,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py
,14,2,189,20,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py
,0,0,6,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py
,2,1,25,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py
,21,5,224,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py
,6,1,78,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py
,2,1,28,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py
,3,1,56,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py
,45,4,604,16,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py
,0,1,25,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py
,4,1,127,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py
,1,1,53,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
,4,1,121,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py
,5,1,118,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py
,0,0,2,0,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py
,28,6,566,19,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
,10,1,118,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
,10,2,187,14,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
,20,2,210,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
,14,7,523,36,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
,2,0,98,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
,2,1,62,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
,0,0,2,0,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__init__.py
,6,1,181,13,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
