file,reference_status,reference_count,sample_reference,time
backup_delete_files,REFERENCED,2,99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.842187
check_db_tables,REFERENCED,30,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt;00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,2026-07-28 21:18:36.842187
deploy_feature_engine_history_v1.0,REFERENCED,23,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Asset_Cleanup_Action_Plan_V1.0.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.844183
deploy_football_ai_os_unified_v2.1,REFERENCED,22,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt,2026-07-28 21:18:36.844183
deploy_full_prediction_ai_v2.1,REFERENCED,27,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt,2026-07-28 21:18:36.844183
deploy_phase10_batch02_real_model_v1.0,REFERENCED,33,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase11_FAST_Pipeline_Model_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_engine_v1.0,REFERENCED,42,Football_AI_OS_CODE_ONLY_V1.0.zip;football_v_current_tree.txt;reports\after_20260723_1000_files.csv;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_engine_v1.1_real_fix,REFERENCED,22,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_Football_AI_OS_V2.1_REAL_ALL_FIX2.ps1;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_intelligence_batch_01_v2.0,REFERENCED,27,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_intelligence_v1.4_real,REFERENCED,21,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_patch_v2.1.1,REFERENCED,25,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_MIGRATION_VERIFY_REPORT_V1.0.txt,2026-07-28 21:18:36.844183
deploy_prediction_phase_v1.2_batch,REFERENCED,24,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_Football_AI_OS_V2.1_REAL_ALL_FIX2.ps1;deployment_scripts\deploy_prediction_phase_V1.2_fix.ps1;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
deploy_remaining_batch_v1.5,REFERENCED,36,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt,2026-07-28 21:18:36.844183
deploy_training_engine_batch_01_v2.0,REFERENCED,27,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt,2026-07-28 21:18:36.844183
football_ai_os_v2.0_real_engine,REFERENCED,18,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
global_audit,REFERENCED,23,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\global_audit.py;reports\after_20260723_1000_files.csv;reports\FOOTBALL_AI_OS_V4_GLOBAL_AUDIT.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
integration_layer_v2.6_initializer,REFERENCED,23,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_Football_AI_OS_V2.6_INTEGRATION_REAL_ALL.ps1;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.844183
prediction_database_test_v1.3,REFERENCED,20,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_Football_AI_OS_V2.1_REAL_ALL_FIX2.ps1;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
prediction_database_test_v1.4,REFERENCED,22,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_Football_AI_OS_V2.2_VALIDATION_REAL.ps1;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
prediction_intelligence_init_v1.3_fix,REFERENCED,19,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
test_feedback_connector,REFERENCED,21,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;reports\FOOTBALL_AI_OS_V4_GLOBAL_AUDIT.json;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.844183
upgrade_model_registry_schema_v1.0,REFERENCED,25,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;10_GOVERNANCE_LAYER\audit\Phase11_FAST_Pipeline_Model_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.844183
readme,REFERENCED,76,deploy_remaining_modules_V1.5_FINAL.py;deploy_remaining_modules_V1.5_FINAL.py;deploy_remaining_modules_V1.5_FINAL.py;deploy_remaining_modules_V1.5_FINAL.py;Football_AI_OS_CODE_ONLY_V1.0.zip,2026-07-28 21:18:36.844183
ai_intelligence_batch_02_06_report,REFERENCED,17,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_ai_intelligence_batch_02_06_V2.0.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_deployment_report,REFERENCED,16,deploy_ai_intelligence_V2.0.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_final_release_report,REFERENCED,20,Football_AI_OS_CODE_ONLY_V1.0.zip;release_integration_V2.0.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_final_tree,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_release_validation_report,REFERENCED,20,Football_AI_OS_CODE_ONLY_V1.0.zip;validate_release_V2.0.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_test_report,REFERENCED,19,Football_AI_OS_CODE_ONLY_V1.0.zip;test_ai_intelligence_V2.0.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
ai_os_v2.0_tree,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
alpha_release_report_v1.5,REFERENCED,19,Football_AI_OS_CODE_ONLY_V1.0.zip;release_validation_V1.5.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
deployment_report_v1.5,REFERENCED,16,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_remaining_batch_V1.5.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_acceptance_report,REFERENCED,22,final_acceptance_test.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\phase7_final_acceptance.py,2026-07-28 21:18:36.844183
final_acceptance_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_frozen_v1.5_complete_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_frozen_v1.5_full_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_phase51_55_validation_report,REFERENCED,21,Football_AI_OS_CODE_ONLY_V1.0.zip;phase51_55_final_validation.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt,2026-07-28 21:18:36.844183
final_release_tree_v1.5,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_runtime_test,REFERENCED,17,final_deploy.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_system_snapshot,REFERENCED,8,final_deploy.py;Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv,2026-07-28 21:18:36.844183
final_system_snapshot_v2.0,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_system_snapshot_v2.1.1,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_system_snapshot_v2.1,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_system_tree_v1.5,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
final_system_tree_v2.0,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
football_ai_os_v2.0_final_release,REFERENCED,19,Football_AI_OS_CODE_ONLY_V1.0.zip;release_final_patch_V2.0.1.py;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
full_ai_deployment_report_v2.1,REFERENCED,16,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_full_prediction_ai_V2.1.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
full_ai_patch_deployment_v2.1.1,REFERENCED,15,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_prediction_patch_V2.1.1.py;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv;99_DOCUMENTATION\MODEL_DATA_SNAPSHOT_V4.0\FOOTBALL_V_DATA_SCAN_V4.0.txt,2026-07-28 21:18:36.844183
full_ai_test_report_v2.1.1,REFERENCED,18,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_prediction_patch_V2.1.1.py;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
integration_test_report_v1.5,REFERENCED,20,deploy_integration_test_V1.5.py;deploy_integration_validation_V1.5.py;fix_integration_report_schema_V1.5.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json,2026-07-28 21:18:36.844183
legacy_delete_check,REFERENCED,54,Football_AI_OS_CODE_ONLY_V1.0.zip;Football_AI_OS_CODE_ONLY_V1.0.zip;legacy_delete_check.py;legacy_delete_check.py;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,2026-07-28 21:18:36.844183
local_console_v1.1_test_report,REFERENCED,16,deploy_console_v1_1.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
local_console_v1_test_report,REFERENCED,15,deploy_local_console_v1.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase10_batch02_deployment,REFERENCED,16,Football_AI_OS_CODE_ONLY_V1.0.zip;deployment_scripts\deploy_phase10_batch02_real_model_V1.0.py;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv;99_DOCUMENTATION\MODEL_DATA_SNAPSHOT_V4.0\FOOTBALL_V_DATA_SCAN_V4.0.txt,2026-07-28 21:18:36.844183
phase10_batch02_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_batch01_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_deployment_report,REFERENCED,17,deploy_phase11.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_final_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_full_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase11_test_report,REFERENCED,16,Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv;99_DOCUMENTATION\MODEL_DATA_SNAPSHOT_V4.0\FOOTBALL_V_DATA_SCAN_V4.0.txt,2026-07-28 21:18:36.844183
phase12_deployment_report,REFERENCED,16,deploy_phase12.py;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
phase12_system_snapshot,REFERENCED,7,Football_AI_OS_CODE_ONLY_V1.0.zip;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.844183
