file,class
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,FilesystemWheel
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,MemoryWheel
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,EntryPoint
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,InMemoryMetadata
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,Distribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,Environment
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py,Backend
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,BadMetadata
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,BasePath
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,WheelDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,Distribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,_DistributionFinder
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,Environment
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,InstallationCandidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,DirectUrlValidationError
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,VcsInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,ArchiveInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,DirInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,DirectUrl
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,FormatControl
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,PackageIndex
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,InstallationReport
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,LinkHash
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,MetadataFile
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,Link
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,_CleanResult
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,Scheme
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,SearchScope
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,SelectionPreferences
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,TargetPython
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,Wheel
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,Credentials
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,KeyRingBaseProvider
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,KeyRingNullProvider
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,KeyRingPythonProvider
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,KeyRingCliProvider
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,MultiDomainBasicAuth
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,SafeFileCache
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,Downloader
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,BatchDownloader
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,HTTPRangeRequestUnsupported
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,LazyZipOverHTTP
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,LocalFSAdapter
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,_SSLContextAdapterMixin
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,HTTPAdapter
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,CacheControlAdapter
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,InsecureHTTPAdapter
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,InsecureCacheControlAdapter
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,PipSession
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py,PipXmlrpcTransport
